timestamp,device_id,event_type,event_payload
1595274975.117,9621ebc2,squirrel,3f2115dfbf19fb8fde73cb9a9
1595274975.182,9621ebc2,squirrel,bf55656921d5d0d30367243
1595274975.222,9621ebc2,squirrel,05fbc50453f6d97af5770af2d8
1595274975.244,8b6756cb,round,29cb2c98d7cb6ffa5
1595274975.294,a8dd6a50,light,611bbce74b1aa842e36419
1595274975.367,9621ebc2,squirrel,d5e273e6b63221cc7cc5
1595274975.39,9621ebc2,squirrel,8e115600ea844fbc
1595274975.419,0c428083,squirrel,0d99d4492442f127a98fdd
1595274975.456,0c428083,squirrel,1706dd9d9125f3301
1595274975.475,d5408274,Squirrel,5d063adb401322e6b9772
1595274975.479,0c428083,round,004822ec6c74d466094aea17f4
1595274975.538,c8428cc3,Squirrel,19b98db4d51258e3111f697fd
1595274975.542,0c428083,squirrel,09dc51e90df789ac7
1595274975.564,9621ebc2,squirrel,20f8d1f9a65cb15bc7b70438a8
1595274975.6,9621ebc2,squirrel,08c7a2663d800a86f9554f4c4c
1595274975.601,0c428083,squirrel,eb924ea900a49f7dc1
1595274975.605,9621ebc2,squirrel,cff9aaea90b929a
1595274975.622,3d23300e,light,c6e676014c87321bba1cf357
1595274975.642,60c4b6ff,squirrel,59a8657f538c2fcc97d8b478d
1595274975.685,c8428cc3,Squirrel,9a4fe85a84308a3e73706b
1595274975.705,9621ebc2,squirrel,c799e6d40313466699f65a447
1595274975.707,9621ebc2,squirrel,45bb0cf9e378d
1595274975.778,d5408274,Squirrel,53e94225210938833a
1595274975.859,60c4b6ff,squirrel,de1bed2bc41385eb423927fda6
1595274975.929,d5408274,Round,4d1389c95909a87fdd
1595274975.959,4DC735BC,round,17a1a69277f9cb045441841
1595274975.974,0c428083,squirrel,ea9ddc8580a45bee01d8c
1595274976.03,9621ebc2,squirrel,280d0481ef03ad617271e6
1595274976.044,0c428083,squirrel,8b902369cd44a988c0d5e78a
1595274976.059,b777af2a,Round,18d26be2e791fddaf8
1595274976.097,b777af2a,Squirrel,8dad44f416bf4b77639d52
1595274976.133,d5408274,Squirrel,f20a7cc3452182704b456d26a
1595274976.189,9621ebc2,squirrel,e6155e15840ddd3d08
1595274976.214,0c428083,squirrel,87343c1714bbac33c8de3952
1595274976.247,60c4b6ff,squirrel,1b657536e4ea9bbbd1b475
1595274976.299,c8428cc3,Squirrel,9f993d0b525654c20d5790315
1595274976.315,9621ebc2,squirrel,2ddd5a7890024ca39f
1595274976.319,37a889f3,Light,dacacbdde88a64a6
1595274976.33,88fbaf94,green,e670e7aef5254a1bab326e2e5
1595274976.379,0c428083,squirrel,07c22debde146
1595274976.386,348FBFB4,light,e3b60382053acacc029887
1595274976.439,4DC735BC,light,ef0396c014421a20a3d73dcca7
1595274976.504,0c428083,squirrel,11f9a48cbdd6113df
1595274976.557,9621ebc2,squirrel,5ddaee1caf45a73d1
1595274976.605,EE8C7925,Light,3bda0ea306bf72
1595274976.671,d5408274,Squirrel,5e61a480dea2eb8f2523e7
1595274976.688,608e7311,Round,a6b6d6fdae93e978955b
1595274976.72,8b6756cb,light,42e887e942a0e461
1595274976.756,b777af2a,Squirrel,3bbec3862f1c66cb0eefbb3cf
1595274976.824,0c428083,squirrel,722b26e742dae958
1595274976.872,608e7311,Squirrel,5fff833e18da6b055a465e
1595274976.882,c8428cc3,Squirrel,c665c2d932bbe17b8f45d50db5
1595274976.9,608e7311,Squirrel,b1f9c0bce4585a348b
1595274976.914,0c428083,squirrel,a8ed8c1c4be1fb1893ca
1595274976.946,b777af2a,Squirrel,f3559ea21f10872545e1ed3a1
1595274976.981,0c428083,squirrel,ece54321bdc836b6bb7ef7ad2
1595274977.042,d5408274,Squirrel,884b3159e52787d4ebd9
1595274977.122,c8428cc3,Squirrel,1ceaa5c87309164c3b8d0f87
1595274977.141,c8428cc3,Squirrel,438240677c0c0f
1595274977.174,0c428083,squirrel,b164cb361182d2abe4b19ccd6e
1595274977.208,4DC735BC,round,aa69bdd81d6ca09e0ded
1595274977.285,c8428cc3,Squirrel,5ec4c7b1925a9af46909409f
1595274977.309,c8428cc3,Squirrel,89e00f905bc52fe8a
1595274977.363,9621ebc2,squirrel,4f77fb10a12bc
1595274977.383,9621ebc2,squirrel,b54f8659dadf34d
1595274977.423,9621ebc2,squirrel,0e147d6bbc89bfb9ec90632
1595274977.473,0c428083,squirrel,bc467a3fea7eef
1595274977.481,9621ebc2,squirrel,cd60531c73af32a4
1595274977.514,b777af2a,Round,78fbb3cb5a28ead4a7
1595274977.554,9621ebc2,squirrel,288964b6eed0eababed8d2
1595274977.603,a8dd6a50,round,db843e50f76f2aaec2fc97d62b
1595274977.609,37a889f3,Light,f58459d930ceaa
1595274977.631,9621ebc2,squirrel,2e16a9811ee92
1595274977.67,9621ebc2,squirrel,d4fad35ed97124402
1595274977.692,0c428083,squirrel,686016e7c30a8c732ff0
1595274977.743,60c4b6ff,squirrel,44f23ebe9643fbec88cd0c5b3
1595274977.755,9621ebc2,squirrel,705b6bba15d0f
1595274977.777,48395fbc,Light,e249a5b6a9f2535f
1595274977.805,48395fbc,Round,3854e3ad752f7864969
1595274977.814,4DC735BC,light,dd1542f054ad17e17b2
1595274977.829,0c428083,squirrel,ebcc3e1aec6d48
1595274977.874,c8428cc3,Squirrel,5ef7887da57b1c4cf2e2c63d62
1595274977.902,0c428083,squirrel,19b573de70185
1595274977.926,8b6756cb,round,29d76e433eb01
1595274977.942,60c4b6ff,squirrel,44e97a4eaab170516f3d437b1
1595274977.965,0c428083,squirrel,2227553644b0038
1595274977.972,c8428cc3,Squirrel,f3013ccf3fc92c6
1595274977.982,9621ebc2,squirrel,b51f30ef05111bbc3e2e8c9
1595274978.042,d5408274,Green,ce04bcbccea02f4f8b954e
1595274978.08,0c428083,round,74b0ddfd0cfdfee
1595274978.138,0c428083,round,db7dea89438bd6fee41a5416a
1595274978.142,9621ebc2,squirrel,f834b009fbcf04b8489a76f711
1595274978.192,0c428083,squirrel,6dd5d65c797995f959f1b3
1595274978.214,b777af2a,Round,5a7e56be09f5ab46a0d1
1595274978.227,9621ebc2,squirrel,2d42dac9c469e9257956
1595274978.254,60c4b6ff,squirrel,975c2066588f2
1595274978.266,c8428cc3,Light,8bead20b02e2e3d1b3f2
1595274978.344,0c428083,squirrel,a8b2eeb8a8a64a9084c9b
1595274978.355,940B4D8A,squirrel,275c7e1cab7102
1595274978.396,c8428cc3,Squirrel,6d0c8d99f67df1
1595274978.481,60c4b6ff,squirrel,d7f7aad73945ae13
