timestamp,device_id,event_type,event_payload
1595275375.814,0c428083,squirrel,e3d387ad18f528237bb7
1595275375.834,9621ebc2,squirrel,07a040a2ea4adbf74
1595275375.892,9621ebc2,squirrel,ca4ac5af68d1ab84f
1595275375.897,8b6756cb,round,24953c965d91cf8e22ab16
1595275375.974,0c428083,squirrel,2b7c1db0af64c8d9004fd378
1595275375.989,88fbaf94,squirrel,73a44d60e7b95cab8022a88de1
1595275376.009,9621ebc2,green,1052685dc467f0ddbd87
1595275376.069,940B4D8A,squirrel,0649dc2557bdd9a
1595275376.086,0c428083,squirrel,2f716317b8ce7550c71f9b
1595275376.112,940B4D8A,round,b394fb27557e2034e41db00cd
1595275376.169,940B4D8A,squirrel,bc29191bc6f009e1
1595275376.178,9621ebc2,squirrel,cdaeaf97d8f35e00db3ed0fa
1595275376.256,348FBFB4,light,20e4803bd34903e331727811
1595275376.289,c8428cc3,Squirrel,533900e6a171d2247582f
1595275376.292,c8428cc3,Squirrel,32ee026b7a80da9d
1595275376.315,0c428083,squirrel,98f9b06635be2048d63730
1595275376.355,0c428083,squirrel,49c26f132bb8a779e0
1595275376.413,48395fbc,Round,644aa855add6c8d2fbae501f
1595275376.416,c8428cc3,Squirrel,d195d182e1a53370f21
1595275376.421,940B4D8A,light,e2b457271661cb0c898a1
1595275376.436,9621ebc2,squirrel,b445136f4970d1d6818c79b
1595275376.437,48395fbc,Light,6ecbc0cd98d59f68f
1595275376.463,9621ebc2,squirrel,5a2fbb1991e708f58cf28717
1595275376.478,c8428cc3,Squirrel,979557f80012e3c0d73
1595275376.518,d5408274,Green,5dc2f3186381c
1595275376.568,0c428083,squirrel,2118985b160c91f7ea
1595275376.624,9621ebc2,squirrel,0937ff9f912baf160
1595275376.664,d5408274,Green,647fa3b326b8b0cbe39d9f601
1595275376.752,48395fbc,Light,0d262f5c5f93c
1595275376.77,c8428cc3,Squirrel,d9b39ba40aaf98a9e083
1595275376.813,940B4D8A,squirrel,47bf35b675e719
1595275376.858,9621ebc2,squirrel,1415d4db677b1da49a07e1d
1595275376.892,0c428083,squirrel,02f84d1d1a6771fb41d1
1595275376.927,88fbaf94,squirrel,026343c2cb11b
1595275376.98,A60B7571,squirrel,700f79b3cda8d2f7
1595275377.033,EE8C7925,Green,3140d93b244aa6
1595275377.054,9621ebc2,squirrel,26f518de76035b6fa
1595275377.102,0c428083,squirrel,5f7ae6b0e6e2ce864d2869
1595275377.13,0c428083,squirrel,71291e28db6eb42bde
1595275377.188,9621ebc2,squirrel,e7a3ef3dab3b9d35adba49e3
1595275377.226,8b6756cb,green,2c4fabd8821cbf53dc209a82
1595275377.306,940B4D8A,squirrel,88ccd002f154ac
1595275377.353,9621ebc2,squirrel,189e76c646a4f360ea2af6438b
1595275377.37,0c428083,squirrel,90d0322a04dcff998f
1595275377.389,8b6756cb,green,6d1e7c0506c9561dfc6681a60f
1595275377.419,0c428083,squirrel,a127d417026a204
1595275377.434,0c428083,squirrel,43bcb96c4dd36ff054d9f119ba
1595275377.496,0c428083,round,b49e05f2ddaee8257b32
1595275377.556,d5408274,Squirrel,0cb6b85e8d937d30b5
1595275377.571,0c428083,squirrel,340560597a3819292d8d56
1595275377.597,940B4D8A,squirrel,931cfccacc85c1e14b496
1595275377.628,A60B7571,squirrel,fad07f2739d916c
1595275377.712,0c428083,squirrel,65ae7f5cb87d22933add2091
1595275377.72,0c428083,squirrel,eccf8f5d5220f
1595275377.725,b777af2a,Light,b6d0f689938f847abfc0c66
1595275377.748,3d23300e,light,a60d2e52c25739d71e3ea55
1595275377.775,a8dd6a50,round,a9109363a49270acd6f
1595275377.795,0c428083,squirrel,d5ea1d47aaf3986ddf7b2f8
1595275377.82,608e7311,Round,ee3884b9fe619e98d7dbb7b
1595275377.894,0c428083,squirrel,538685fd2bdc23
1595275377.907,9621ebc2,squirrel,f6d27f53313b1b2e
1595275377.935,48395fbc,Round,290e51ff3926fa983830
1595275377.942,9621ebc2,squirrel,31677a477d406b2334477c92
1595275378.0,9621ebc2,light,ee3590d8fd0136
1595275378.012,88fbaf94,squirrel,c4008b644365319
1595275378.036,0c428083,squirrel,3a1146e6fed40e92d59c66
1595275378.096,9621ebc2,squirrel,11aab4728dd5c6
1595275378.103,60c4b6ff,squirrel,708ec0a2e469fe4
1595275378.13,9621ebc2,squirrel,c3cc5bf991957f542797f7f
1595275378.152,8b6756cb,green,f94dac74ac8984265707d0
