timestamp,device_id,event_type,event_payload
1595275174.684,d5408274,Squirrel,24ee59c0347b88a4e5
1595275174.694,9621ebc2,squirrel,8efeb520938db9a44636b65e33
1595275174.7,d5408274,Squirrel,7bb5b32bc7a8b90f5254d
1595275174.704,c8428cc3,Squirrel,3a06590007c1b4
1595275174.763,9621ebc2,squirrel,44160f1c36dfe
1595275174.773,0c428083,squirrel,ee32c3278aeffd55b2d50e42cb
1595275174.801,9621ebc2,squirrel,7dd3b353eab680245b7bf
1595275174.802,60c4b6ff,squirrel,b46ce38c1fe67
1595275174.869,60c4b6ff,squirrel,64ba03388aef37174a29397d35
1595275174.877,88fbaf94,squirrel,48b6046339ce7e3
1595275174.885,b777af2a,Squirrel,7f09d91e39b26de
1595275174.913,60c4b6ff,squirrel,a562cca2c5dda46135b3a64
1595275174.916,9621ebc2,squirrel,8eea18929fdbc
1595275174.933,c8428cc3,Squirrel,652ba2a27eb77e8679ca5608dc
1595275174.955,0c428083,squirrel,5dc669e33766bc0e13b34e9
1595275175.031,9621ebc2,squirrel,60d1503aa504a7fad
1595275175.077,8b6756cb,light,817817dd631fb5f8ca
1595275175.08,0c428083,squirrel,d70d92ca552a860851de1c7c
1595275175.114,608e7311,Round,6eb66b7e199bf5f7c03c48bed
1595275175.129,940B4D8A,squirrel,2fcff9733c2090bc4b60a68
1595275175.157,940B4D8A,light,c958b13dbd25d0173d54f85fd
1595275175.185,0c428083,squirrel,c2f736cbd87b29126b0
1595275175.261,9621ebc2,squirrel,d83cf21d2cdc8504c122429436
1595275175.275,a8dd6a50,light,d677b24481a59712b
1595275175.312,9621ebc2,squirrel,1d30fab329e5e
1595275175.359,b777af2a,Squirrel,6a68a659ff7af4055b12
1595275175.393,0c428083,squirrel,95b5a2df4cfa764f5f176f
1595275175.426,60c4b6ff,squirrel,df486a9bba3625
1595275175.431,48395fbc,Light,5cda2e0854f3c86a679b6d1
1595275175.454,9621ebc2,squirrel,5559f65ddfee18b1cd028
1595275175.525,9621ebc2,squirrel,d652e1af6b21edb19e9
1595275175.591,A60B7571,round,f3d2a20fbf7cabe4bbb6f7de
1595275175.628,68197783,light,9af56c884d7b1c75ba4
1595275175.635,d5408274,Squirrel,83a05091ec487
1595275175.661,9621ebc2,squirrel,96f6302a1e1663f8ecb906e8
1595275175.702,9621ebc2,squirrel,477c8e5eb43211afc2
1595275175.722,0c428083,squirrel,57b5c190882b59ab7d0
1595275175.729,A60B7571,round,75ce915e096e81d4edc84c
1595275175.78,c8428cc3,Squirrel,ab70d0a8aa61fd7
1595275175.82,9621ebc2,squirrel,80434ca2f8a68a52baf1e
1595275175.897,9621ebc2,squirrel,dcaa4caaccbdf428c55
1595275175.906,9621ebc2,squirrel,722532bba0a610da
1595275175.957,37a889f3,Round,82f6b2b5bc81308d335e35351d
1595275176.003,c8428cc3,Squirrel,cf564b1865978
1595275176.046,0c428083,squirrel,da3215433ee7b5ff
1595275176.052,9621ebc2,squirrel,a9af9d5d6c636b8
1595275176.074,9621ebc2,squirrel,4ea85ece04ad433
1595275176.109,940B4D8A,squirrel,676ff800ea426e7b
1595275176.16,9621ebc2,squirrel,a920b858ced307
1595275176.185,0c428083,squirrel,4cebaec18a28704e
1595275176.21,0c428083,squirrel,b82168196809d
1595275176.235,9621ebc2,squirrel,a27c24adecb36
